"Letter","Probability"
"A",0.0786879683333552
"B",0.0162104985227178
"C",0.0235825074082318
"D",0.0417918101397854
"E",0.121904690207169
"F",0.0215698468601754
"G",0.0197635039299633
"H",0.0629361473703505
"I",0.0680478272823682
"J",0.00150357646298939
"K",0.00863009902372816
"L",0.0434644994042865
"M",0.027407511663328
"N",0.066694379345108
"O",0.0786336340268049
"P",0.0160368033098103
"Q",0.00104566263850884
"R",0.0599032456565286
"S",0.0643801524851945
"T",0.0882600802140204
"U",0.0312808494481467
"V",0.00982490824266705
"W",0.0236999044239909
"X",0.00139490784988893
"Y",0.0228428843879426
"Z",0.000502101362940075
